Species,yStart,yEndM1,yEndM2,logFCrnaseqM1,LogFCrnaseqM2
IFNb_mrna,1.41E-38,0.100210251,2.98E-41,10.79224247,
IL1_mrna,1.79E-22,0.265673443,1.38E-22,7.039819342,0.651076857
IL6_mrna,2.34E-57,0.249310363,1.81E-57,11.83269522,
TNFa_mrna,1.79E-22,0.265673443,1.38E-22,7.3050291,
CCL2_mrna,1.79E-22,0.265673443,1.38E-22,,
CXCL1_mrna,1.79E-22,0.265673443,1.38E-22,,
SOCS2_mrna,0.050885982,0.006558947,0.680089262,,
SOCS1_mrna,0.066252758,0.725613513,0.683701666,6.577382504,4.737153367
Arg1_mrna,0.00907004,0.502140145,0.09644507,,2.419958101
IL10_mrna,1.04E-02,1.14E+00,1.04E-02,5.676990884,
SOCS3_mrna,1.04E-02,1.14E+00,1.04E-02,4.101089088,0.843534114
IKBa_mrna,1.79E-22,0.265673443,1.38E-22,2.649381488,
CCL5_mrna,0.005884683,0.274693608,0.000934626,10.73023339,